Return_ID,Order_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount
R42,O6804,P39093,2023-05-16,Damaged,295.36
R43,O20263,P3088,2022-08-14,Damaged,176.1
R44,O39728,P3295,2024-07-07,Late,13.39
R45,O22280,P28571,2023-09-27,Wrong Item,283.62
R46,O36329,P13480,2021-10-11,Wrong Item,232.66
R47,O9397,P1587,2022-06-19,Damaged,422.19
R48,O28057,P18598,2020-07-13,Late,443.16
R49,O26995,P4251,2020-10-19,Wrong Item,400.07
R50,O20035,P22223,2021-10-19,Wrong Item,205.86
R51,O5153,P2212,2025-08-24,Late,162.33
R52,O7303,P31848,2024-05-03,Late,289.08
R53,O14256,P14100,2025-09-18,Wrong Item,109.45
R54,O8049,P12236,2021-11-02,Damaged,169.67
R55,O29154,P26055,2023-06-07,Late,304.14
R56,O15282,P25628,2023-10-27,Wrong Item,383.38
R57,O20024,P11470,2020-04-12,Damaged,476.37
R58,O11877,P36719,2025-09-29,Damaged,395.39
R59,O22682,P9771,2022-10-07,Late,76.61
R60,O29737,P12253,2024-12-27,Damaged,166.68
R61,O23051,P32620,2022-09-11,Late,418.66
R62,O22733,P6704,2023-02-06,Late,389.98
R63,O39726,P21221,2023-01-01,Wrong Item,462.01
R64,O25975,P27762,2020-08-13,Late,146.25
R65,O35590,P23537,2022-05-22,Late,81.87
R66,O11793,P22969,2020-08-22,Damaged,75.21
R67,O29689,P14161,2024-01-07,Wrong Item,21.08
R68,O16895,P2679,2022-09-15,Late,450.2
R69,O8204,P26133,2021-07-31,Damaged,498.72
R70,O3762,P14343,2022-08-04,Late,478.53
R71,O34703,P5566,2024-05-10,Damaged,284.51
R72,O20549,P24911,2020-04-27,Damaged,278.98
R73,O9395,P18886,2025-11-26,Wrong Item,300.7
R74,O26417,P37096,2025-10-19,Wrong Item,103.22
R75,O40965,P4373,2024-06-21,Wrong Item,355.64
R76,O2349,P34318,2025-02-02,Damaged,29.2
R77,O20643,P37886,2023-01-06,Damaged,299.12
R78,O14786,P21096,2021-02-12,Damaged,104.03
R79,O12235,P19163,2025-04-10,Late,182.71
R80,O31381,P33782,2020-05-24,Damaged,221.09
R81,O6797,P19747,2020-11-01,Damaged,235.71
R82,O17414,P17891,2025-08-26,Late,455.31
R83,O10032,P34979,2025-10-06,Late,66.54
R84,O19678,P3021,2022-08-07,Damaged,123.75
R85,O14148,P10783,2020-02-26,Late,297.87
R86,O32070,P19651,2021-11-08,Damaged,365.45
R87,O34829,P36844,2023-01-23,Damaged,428.57
R88,O17978,P7977,2025-11-16,Damaged,467.36
R89,O27430,P29378,2020-12-09,Damaged,333.63
R90,O2468,P32949,2025-02-12,Late,498.43
R91,O30143,P28557,2022-09-21,Damaged,140.71
R92,O15704,P30798,2020-12-01,Damaged,476.78
R93,O19745,P15039,2024-05-20,Wrong Item,288.98
R94,O2762,P30193,2023-06-28,Late,493.05
R95,O12028,P18692,2023-05-18,Wrong Item,377.79
R96,O26683,P10518,2021-07-09,Wrong Item,40.12
R97,O21790,P16916,2021-11-02,Damaged,121.44
R98,O9542,P37932,2021-04-27,Damaged,352.92
R99,O4626,P33244,2024-09-22,Wrong Item,316.98
R100,O18233,P35433,2025-06-27,Damaged,246.38
R101,O36185,P14538,2024-08-26,Damaged,452.01
R102,O1548,P13025,2022-11-01,Damaged,328.35
R103,O20618,P9357,2022-08-24,Late,466.39
R104,O13901,P19253,2023-05-07,Damaged,107.01
R105,O7094,P4537,2021-03-17,Wrong Item,171.13
R106,O9702,P12493,2020-05-14,Wrong Item,460.37
R107,O7834,P1557,2022-07-18,Late,391.49
R108,O18488,P28135,2021-02-27,Wrong Item,335.69
R109,O15601,P31384,2023-12-21,Wrong Item,60.64
R110,O5256,P35019,2020-11-02,Late,403.41
R111,O22338,P25041,2024-10-09,Wrong Item,370.35
R112,O12899,P16602,2024-11-17,Late,107.79
R113,O33946,P12101,2021-08-02,Damaged,332.02
R114,O24755,P37895,2023-01-19,Damaged,204.34
R115,O40048,P23173,2020-02-08,Wrong Item,389.68
R116,O3469,P24554,2020-12-14,Damaged,383.14
R117,O29684,P1516,2023-06-06,Damaged,237.39
R118,O7242,P34450,2021-08-31,Damaged,43.53
R119,O32013,P8317,2024-08-05,Wrong Item,13.12
R120,O4761,P25043,2025-10-29,Damaged,178.74
R121,O40089,P35537,2024-10-04,Wrong Item,311.68
R122,O18577,P39605,2024-12-17,Damaged,105.65
R123,O32131,P36113,2021-09-04,Damaged,379.34
R124,O2008,P29968,2024-10-16,Wrong Item,407.63
R125,O7462,P30029,2024-12-08,Damaged,71.41
R126,O26476,P39516,2021-04-19,Late,471.28
R127,O8049,P39366,2025-08-06,Wrong Item,71.54
R128,O31446,P34631,2021-02-12,Damaged,356.38
R129,O21757,P18108,2023-08-26,Wrong Item,369.34
R130,O16255,P15405,2023-08-10,Late,270.58
R131,O12383,P27317,2024-08-10,Late,307.01
R132,O23572,P34018,2020-10-30,Late,204.66
R133,O29644,P39024,2024-11-01,Damaged,195.46
R134,O21689,P11993,2024-11-16,Late,438.71
R135,O15714,P23934,2022-03-13,Damaged,95.94
R136,O37737,P24713,2022-05-08,Damaged,8.07
R137,O19251,P1310,2023-09-06,Wrong Item,452.52
R138,O25383,P17407,2022-01-28,Wrong Item,30.57
R139,O16061,P25037,2023-05-29,Late,365.43
R140,O29154,P34521,2021-12-07,Wrong Item,280.79
R141,O22454,P8257,2024-08-03,Damaged,436.65
R142,O20863,P28701,2021-05-17,Damaged,311.4
R143,O7854,P32129,2021-08-14,Damaged,191.59
R144,O22520,P29388,2021-06-09,Late,406.1
R145,O34581,P32219,2021-09-14,Damaged,93.28
R146,O13957,P27548,2025-02-26,Damaged,352.32
R147,O3481,P4955,2025-05-15,Wrong Item,418.29
R148,O8982,P5112,2024-12-23,Wrong Item,194.23
R149,O36519,P37446,2022-07-29,Wrong Item,312.05
R150,O22091,P33416,2021-11-16,Damaged,270.09
R151,O13793,P13587,2024-06-21,Damaged,457.98
R152,O11286,P40564,2024-02-24,Damaged,280.37
R153,O11751,P2885,2022-09-18,Damaged,233.94
R154,O26947,P34723,2024-02-05,Late,84.24
R155,O4088,P11425,2022-03-15,Late,207.37
R156,O13074,P6783,2025-11-04,Damaged,208.45
R157,O13226,P10093,2025-10-31,Late,436.36
R158,O33637,P13266,2021-05-16,Damaged,163.31
R159,O8468,P23756,2025-08-25,Damaged,58.63
R160,O9885,P35305,2024-11-19,Late,172.43
R161,O6381,P19422,2025-02-10,Damaged,411.26
R162,O29752,P19807,2020-04-03,Wrong Item,106.36
R163,O25262,P4123,2021-06-11,Damaged,213.46
R164,O23763,P25336,2020-04-03,Damaged,247.48
R165,O3722,P2526,2024-02-08,Wrong Item,16.48
R166,O36587,P35227,2020-04-20,Damaged,158.39
R167,O5668,P28827,2024-05-13,Damaged,160.12
R168,O33571,P16459,2020-08-22,Damaged,417.63
R169,O4020,P23779,2020-02-18,Damaged,317.56
R170,O14306,P24847,2025-11-20,Damaged,200.1
R171,O29247,P39917,2023-02-25,Damaged,302.88
R172,O25270,P38790,2022-08-15,Damaged,50.83
R173,O15154,P9280,2023-04-17,Late,427.83
R174,O28145,P11953,2021-12-26,Wrong Item,125.9
R175,O3961,P25417,2023-05-24,Late,371.53
R176,O31751,P36838,2020-12-07,Damaged,300.34
R177,O40442,P31324,2020-12-14,Damaged,107.53
R178,O34409,P34118,2021-11-25,Damaged,405.21
R179,O2113,P13272,2022-05-17,Damaged,396.31
R180,O12106,P29178,2024-01-03,Damaged,198.37
R181,O10298,P31747,2020-04-08,Damaged,8.13
R182,O38903,P2907,2024-05-14,Damaged,141.2
R183,O40626,P7843,2023-03-25,Damaged,452.69
R184,O19947,P40446,2022-06-09,Damaged,332.76
R185,O4086,P2464,2020-04-29,Wrong Item,480.08
R186,O12421,P23790,2025-11-09,Damaged,426.34
R187,O24083,P1798,2020-02-14,Wrong Item,140.9
R188,O15831,P34390,2025-05-26,Wrong Item,246.43
R189,O19622,P36116,2025-12-29,Late,167.77
R190,O9800,P14333,2021-07-14,Damaged,245.93
R191,O31086,P26263,2023-07-11,Wrong Item,277.01
R192,O21046,P9394,2022-03-19,Damaged,166.25
R193,O32683,P25403,2024-12-22,Damaged,120.51
R194,O1838,P34567,2023-05-04,Damaged,145.81
R195,O32179,P18803,2020-03-07,Late,434.47
R196,O19324,P32528,2020-08-23,Late,124.8
R197,O4072,P2997,2020-11-15,Damaged,254.99
R198,O40707,P7460,2022-08-08,Damaged,287.23
R199,O40613,P8493,2021-06-25,Damaged,367.5
R200,O24022,P35648,2024-07-16,Damaged,390.68
R201,O1620,P5097,2020-03-01,Damaged,360.47
R202,O20417,P32784,2025-09-27,Damaged,347.57
R203,O38671,P26850,2022-05-10,Damaged,446.82
R204,O28762,P1238,2025-05-06,Wrong Item,167.08
R205,O35846,P37158,2024-10-17,Late,344.54
R206,O29829,P26698,2022-07-29,Late,375.95
R207,O13783,P20959,2022-08-02,Damaged,138.02
R208,O37305,P22520,2024-11-23,Late,247.78
R209,O12236,P30385,2023-04-07,Damaged,67.56
R210,O8352,P34881,2025-11-28,Damaged,165.26
R211,O17560,P37569,2025-09-20,Damaged,53.87
R212,O33250,P21439,2024-04-06,Wrong Item,440.04
R213,O34226,P26219,2020-06-03,Damaged,80.15
R214,O20724,P30209,2023-06-20,Damaged,180.58
R215,O36301,P35301,2025-04-20,Damaged,240.44
R216,O18841,P20646,2024-03-26,Wrong Item,109.73
R217,O34326,P31699,2020-07-08,Damaged,370.34
R218,O2826,P22734,2021-03-01,Damaged,126.51
R219,O31745,P39487,2024-07-30,Damaged,441.73
R220,O9139,P37311,2025-12-06,Damaged,87.9
R221,O2606,P35609,2023-10-09,Late,230.48
R222,O26045,P26059,2020-07-17,Damaged,399.81
R223,O33980,P9325,2021-01-19,Late,116.24
R224,O23892,P24246,2023-06-28,Damaged,231.78
R225,O35773,P33750,2023-09-03,Damaged,321.8
R226,O35399,P25517,2023-06-06,Wrong Item,221.39
R227,O18277,P31039,2022-09-09,Damaged,311.26
R228,O18513,P34414,2021-02-14,Damaged,267.63
R229,O36116,P25155,2020-05-09,Wrong Item,377.33
R230,O28146,P1084,2025-11-30,Damaged,312.65
R231,O2283,P23157,2021-05-13,Late,475.43
R232,O31231,P2970,2023-08-29,Damaged,420.03
R233,O38450,P17689,2020-04-10,Damaged,131.31
R234,O35513,P13889,2025-08-07,Damaged,208.08
R235,O22154,P19269,2024-06-18,Damaged,489.51
R236,O36429,P22440,2020-06-12,Late,469.44
R237,O10361,P33413,2025-05-12,Damaged,89.04
R238,O25000,P29539,2023-06-26,Damaged,222.02
R239,O6017,P14032,2024-09-09,Wrong Item,266.63
R240,O21413,P31932,2024-03-06,Late,378.92
R241,O12936,P16861,2022-06-21,Damaged,252.28
R242,O8212,P5737,2022-04-07,Damaged,271.22
R243,O2110,P36494,2025-10-08,Damaged,110.29
R244,O14761,P23950,2025-03-23,Damaged,224.0
R245,O10174,P5532,2021-11-28,Late,114.49
R246,O10423,P7605,2025-04-24,Damaged,299.82
R247,O18127,P37269,2024-01-02,Damaged,117.36
R248,O22040,P32500,2022-03-17,Damaged,151.4
R249,O37294,P39899,2022-07-15,Damaged,354.75
R250,O26470,P22231,2020-04-17,Late,36.61
R251,O28813,P25869,2023-11-10,Late,254.43
R252,O5837,P18198,2023-08-19,Damaged,37.27
R253,O29002,P34464,2022-01-13,Wrong Item,394.97
R254,O19787,P37620,2020-07-14,Late,289.52
R255,O32490,P29474,2023-10-26,Wrong Item,398.01
R256,O10112,P18839,2023-09-26,Damaged,330.3
R257,O39755,P31003,2023-03-02,Damaged,192.82
R258,O20932,P16611,2021-01-26,Damaged,326.03
R259,O11692,P29689,2020-11-30,Damaged,279.57
R260,O4971,P1075,2024-01-06,Damaged,335.6
R261,O29265,P6246,2024-05-21,Damaged,128.89
R262,O34744,P31441,2023-03-31,Damaged,121.26
R263,O29278,P32686,2021-06-08,Damaged,152.83
R264,O16196,P6692,2025-08-18,Damaged,465.89
R265,O23963,P6855,2020-09-24,Damaged,360.95
R266,O23380,P25461,2023-12-23,Wrong Item,343.75
R267,O33671,P11274,2025-06-21,Wrong Item,130.41
R268,O14454,P40877,2023-01-29,Late,80.37
R269,O6778,P35317,2025-08-12,Wrong Item,181.48
R270,O13799,P19136,2022-05-08,Damaged,119.55
R271,O32167,P39958,2024-02-29,Wrong Item,98.36
R272,O36447,P14416,2025-03-20,Damaged,373.16
R273,O26963,P39548,2024-05-01,Damaged,320.0
R274,O18960,P35370,2020-08-07,Damaged,80.27
R275,O4964,P5232,2020-05-17,Damaged,45.51
R276,O6162,P3217,2021-06-11,Late,315.18
R277,O18015,P4114,2024-01-05,Late,474.97
R278,O17668,P34937,2025-11-16,Wrong Item,48.33
R279,O9480,P7449,2020-02-05,Damaged,376.58
R280,O1388,P2622,2020-05-20,Damaged,110.04
R281,O31540,P10888,2021-12-17,Damaged,110.39
R282,O3631,P39794,2024-09-03,Late,80.39
R283,O4392,P2057,2025-11-18,Wrong Item,399.76
R284,O3800,P5469,2021-10-22,Damaged,323.61
R285,O36168,P8731,2025-01-21,Wrong Item,121.21
R286,O13836,P6131,2021-08-13,Damaged,289.3
R287,O10376,P36773,2024-07-10,Damaged,298.26
R288,O8939,P22111,2023-12-30,Late,355.56
R289,O11385,P35087,2024-07-24,Damaged,387.0
R290,O26401,P32671,2024-05-16,Damaged,272.67
R291,O31745,P27386,2020-05-15,Damaged,420.47
R292,O31986,P4878,2021-12-01,Damaged,324.58
R293,O11496,P26577,2021-08-13,Late,16.33
R294,O5289,P17529,2020-10-03,Damaged,191.21
R295,O3510,P39965,2022-09-07,Late,154.21
R296,O11844,P34385,2022-03-23,Damaged,374.97
R297,O2029,P28981,2020-02-11,Damaged,283.32
R298,O23049,P28758,2025-09-30,Damaged,255.32
R299,O15544,P14984,2024-02-05,Late,257.94
R300,O23813,P29684,2022-01-18,Damaged,454.76
R301,O2748,P13299,2022-09-20,Damaged,123.79
R302,O33170,P6532,2020-01-13,Damaged,446.41
R303,O30704,P4711,2023-08-10,Late,384.12
R304,O15114,P15760,2024-10-27,Damaged,297.19
R305,O11137,P9939,2022-07-22,Late,177.55
R306,O33678,P25799,2022-05-04,Wrong Item,219.54
R307,O24575,P24414,2024-04-29,Wrong Item,36.14
R308,O27392,P12735,2025-05-08,Damaged,260.09
R309,O15692,P2166,2022-05-17,Wrong Item,328.9
R310,O26480,P4549,2022-06-29,Late,41.9
R311,O13777,P28383,2021-06-22,Late,169.65
R312,O6618,P3442,2020-09-01,Wrong Item,432.55
R313,O7341,P10789,2020-01-23,Damaged,344.21
R314,O28493,P38631,2025-08-25,Damaged,38.02
R315,O22161,P4046,2022-04-03,Late,82.29
R316,O33576,P10545,2022-06-30,Late,496.77
R317,O29642,P34305,2023-04-21,Damaged,51.34
R318,O7404,P18409,2021-08-19,Damaged,484.97
R319,O37180,P32162,2024-08-23,Damaged,463.82
R320,O18114,P19511,2025-01-11,Wrong Item,401.84
R321,O5688,P9124,2025-06-24,Wrong Item,368.82
R322,O3541,P17109,2022-10-18,Damaged,37.31
R323,O7176,P7301,2021-09-19,Damaged,115.89
R324,O1228,P7177,2022-03-29,Damaged,413.71
R325,O3878,P10559,2020-07-07,Late,421.22
R326,O23827,P29371,2023-01-05,Damaged,93.13
R327,O29660,P11701,2025-10-25,Wrong Item,447.54
R328,O22031,P11858,2022-09-01,Late,76.06
R329,O37808,P15967,2022-04-05,Late,279.44
R330,O38213,P13475,2025-06-05,Wrong Item,286.69
R331,O31747,P23378,2022-02-11,Late,149.51
R332,O37880,P25198,2023-11-16,Damaged,195.91
R333,O3887,P37936,2024-11-16,Damaged,78.25
R334,O18948,P40141,2025-12-26,Damaged,357.96
R335,O5882,P14336,2025-02-28,Damaged,13.52
R336,O22723,P15599,2022-09-15,Damaged,435.02
R337,O24114,P4448,2021-08-29,Late,94.3
R338,O12966,P5322,2022-12-28,Wrong Item,79.11
R339,O25526,P21513,2020-12-15,Damaged,66.73
R340,O9777,P6518,2025-04-10,Damaged,384.34
R341,O25614,P22305,2021-01-05,Late,262.12
R342,O6671,P32640,2023-03-22,Damaged,415.73
R343,O17934,P30133,2023-02-15,Wrong Item,9.43
R344,O21723,P26021,2023-04-05,Late,465.09
R345,O6746,P13256,2021-07-25,Damaged,444.06
R346,O8607,P12240,2022-06-10,Damaged,225.35
R347,O18798,P17440,2021-09-21,Damaged,410.02
R348,O20401,P1585,2020-02-14,Wrong Item,196.45
R349,O23095,P19156,2020-04-01,Damaged,55.01
R350,O14972,P33658,2021-10-13,Damaged,412.41
R351,O19585,P27536,2021-04-19,Wrong Item,45.01
R352,O8128,P1616,2020-10-27,Damaged,316.38
R353,O11218,P28408,2021-12-02,Wrong Item,499.15
R354,O6328,P30230,2024-05-26,Damaged,448.36
R355,O22297,P25766,2020-04-09,Late,319.76
R356,O21509,P23314,2022-04-14,Wrong Item,405.09
R357,O4866,P40764,2023-03-21,Damaged,369.21
R358,O11730,P21753,2021-06-25,Damaged,296.02
R359,O1827,P21146,2021-08-08,Damaged,42.87
R360,O22922,P11409,2023-06-02,Wrong Item,33.8
R361,O29880,P24753,2023-10-23,Late,295.45
R362,O30028,P22215,2024-12-27,Wrong Item,311.88
R363,O28562,P23394,2024-04-30,Late,333.07
R364,O2930,P35016,2020-05-01,Damaged,271.42
R365,O36305,P15802,2020-08-30,Late,72.14
R366,O2641,P32584,2023-11-20,Damaged,41.31
R367,O36993,P3766,2022-05-12,Wrong Item,384.12
R368,O36121,P25017,2020-04-24,Damaged,76.25
R369,O9819,P37689,2022-10-06,Damaged,485.01
R370,O1095,P18519,2020-12-24,Late,457.68
R371,O13637,P12421,2022-12-13,Damaged,326.26
R372,O32081,P34265,2020-08-14,Damaged,405.73
R373,O20150,P33062,2021-02-23,Late,406.32
R374,O12886,P34652,2024-08-21,Late,274.7
R375,O24441,P7908,2024-02-19,Damaged,412.62
R376,O21373,P26314,2020-03-29,Wrong Item,338.21
R377,O20621,P7456,2020-12-20,Damaged,374.3
R378,O34981,P30078,2020-11-17,Damaged,8.89
R379,O4688,P11807,2022-09-25,Late,241.71
R380,O21648,P34783,2020-05-29,Damaged,447.02
R381,O34761,P31522,2022-04-21,Wrong Item,35.24
R382,O36706,P20655,2022-01-06,Damaged,463.71
R383,O20082,P22118,2022-09-15,Wrong Item,233.64
R384,O11275,P36092,2024-05-28,Damaged,147.85
R385,O32369,P2353,2022-03-06,Damaged,187.75
R386,O12729,P28704,2022-04-22,Wrong Item,55.78
R387,O3385,P21467,2022-01-02,Damaged,113.25
R388,O27629,P6649,2025-11-12,Damaged,103.95
R389,O28083,P32627,2022-11-24,Late,181.8
R390,O10752,P26991,2023-12-28,Damaged,460.59
R391,O17887,P27438,2021-06-07,Late,31.44
R392,O15953,P3426,2025-01-23,Damaged,497.12
R393,O29124,P5540,2020-10-27,Wrong Item,418.61
R394,O33450,P23275,2025-11-03,Late,38.55
R395,O18827,P29947,2024-03-04,Late,36.32
R396,O5581,P32551,2024-11-07,Damaged,409.39
R397,O13179,P19858,2022-02-22,Damaged,5.89
R398,O9945,P15864,2022-07-02,Late,181.97
R399,O39894,P17565,2025-05-29,Late,490.27
R400,O23456,P13296,2021-11-06,Damaged,491.37
R401,O2690,P12127,2023-09-12,Wrong Item,456.54
R402,O13816,P36470,2020-01-03,Late,341.53
R403,O11516,P2595,2024-08-20,Damaged,113.39
R404,O37363,P31261,2023-02-22,Damaged,41.82
R405,O39177,P22126,2022-02-28,Late,243.27
R406,O33425,P22718,2025-12-31,Damaged,452.34
R407,O3361,P26674,2021-12-12,Damaged,358.71
R408,O8500,P2015,2022-12-31,Wrong Item,425.14
R409,O13151,P36301,2021-02-04,Late,159.48
R410,O21560,P29505,2021-07-27,Damaged,92.17
R411,O34866,P25336,2025-02-03,Wrong Item,480.07
R412,O30021,P20498,2021-05-21,Damaged,472.82
R413,O1331,P11093,2025-10-31,Damaged,176.36
R414,O33978,P38437,2025-10-07,Damaged,296.02
R415,O40003,P21254,2020-09-15,Damaged,427.62
R416,O27440,P29217,2021-09-04,Late,477.76
R417,O15829,P30986,2023-09-19,Late,78.8
R418,O37877,P32843,2025-07-30,Damaged,315.39
R419,O3161,P13209,2023-12-19,Late,6.99
R420,O13138,P17815,2024-07-08,Damaged,365.08
R421,O21189,P31266,2022-09-09,Wrong Item,290.29
R422,O1088,P12139,2022-04-16,Damaged,176.5
R423,O10235,P22438,2022-01-16,Late,230.15
R424,O32014,P33336,2021-12-18,Damaged,56.25
R425,O34124,P13895,2022-12-17,Damaged,5.38
R426,O24255,P27617,2025-07-25,Wrong Item,372.49
R427,O20506,P15545,2021-09-14,Damaged,334.29
R428,O17385,P13412,2020-09-02,Damaged,92.88
R429,O23755,P24635,2024-10-12,Damaged,474.87
R430,O20678,P29248,2023-04-29,Wrong Item,469.21
R431,O38531,P31032,2025-08-10,Damaged,144.54
R432,O37524,P25596,2023-12-03,Wrong Item,474.86
R433,O28459,P26661,2023-10-06,Damaged,322.07
R434,O2627,P34227,2024-06-21,Wrong Item,388.5
R435,O11851,P24463,2024-09-04,Damaged,405.93
R436,O24451,P25182,2023-08-10,Damaged,105.11
R437,O14224,P1409,2024-12-13,Damaged,406.03
R438,O6468,P11904,2023-04-06,Late,335.51
R439,O7866,P20628,2024-12-28,Damaged,94.48
R440,O2345,P1726,2022-12-01,Damaged,157.5
R441,O17485,P9936,2023-10-18,Damaged,306.29
R442,O5281,P20356,2023-10-27,Damaged,363.56
R443,O6873,P30275,2022-11-13,Damaged,466.25
R444,O9103,P25487,2022-01-22,Wrong Item,341.88
R445,O14124,P11772,2021-06-04,Damaged,253.27
R446,O40102,P17626,2021-10-03,Damaged,200.97
R447,O9758,P30354,2023-10-31,Late,274.56
R448,O25801,P9631,2021-06-22,Damaged,187.77
R449,O37681,P40164,2023-12-18,Damaged,330.74
R450,O31150,P30710,2023-11-16,Damaged,397.79
R451,O16552,P32079,2023-06-02,Damaged,61.98
R452,O20743,P16712,2024-01-08,Wrong Item,85.72
R453,O24676,P13330,2020-10-06,Damaged,303.91
R454,O38939,P25771,2025-04-30,Late,362.68
R455,O11739,P19273,2021-02-27,Wrong Item,258.17
R456,O14711,P18711,2020-10-25,Damaged,454.18
R457,O13923,P24279,2024-08-09,Late,276.38
R458,O6622,P19700,2022-03-18,Damaged,363.71
R459,O37715,P38960,2021-08-19,Damaged,497.09
R460,O4180,P40409,2022-04-28,Late,167.98
R461,O14615,P4811,2023-10-27,Damaged,235.85
R462,O30401,P14771,2020-08-06,Late,33.11
R463,O27040,P35151,2023-07-08,Wrong Item,171.48
R464,O14838,P8300,2022-11-25,Damaged,383.84
R465,O16205,P24657,2020-09-24,Damaged,220.4
R466,O3176,P24190,2021-08-07,Late,218.84
R467,O12653,P40904,2025-03-24,Damaged,44.66
R468,O29043,P34180,2024-03-12,Damaged,393.14
R469,O24899,P26561,2021-02-18,Damaged,442.16
R470,O35526,P36660,2020-10-23,Late,410.47
R471,O36145,P36200,2020-07-08,Wrong Item,465.63
R472,O31054,P26544,2021-09-18,Wrong Item,238.84
R473,O17281,P13871,2023-09-25,Late,495.88
R474,O4225,P8511,2022-09-06,Late,496.74
R475,O8050,P3001,2021-01-06,Late,59.14
R476,O16036,P32806,2023-02-21,Wrong Item,144.71
R477,O13209,P12920,2022-06-05,Wrong Item,67.38
R478,O38659,P11719,2023-12-17,Damaged,88.37
R479,O32923,P32512,2020-12-02,Damaged,99.43
R480,O33116,P18693,2025-11-06,Damaged,157.96
R481,O20451,P11905,2024-01-20,Late,370.5
R482,O32320,P14717,2024-06-21,Damaged,6.35
R483,O2859,P35041,2023-05-20,Damaged,62.69
R484,O15519,P6999,2022-03-31,Wrong Item,235.95
R485,O7357,P29071,2021-07-21,Wrong Item,409.99
R486,O19743,P21758,2023-05-10,Damaged,465.42
R487,O12008,P31236,2022-05-31,Damaged,202.44
R488,O38233,P38411,2025-09-13,Damaged,137.29
R489,O8633,P31894,2020-09-21,Damaged,260.52
R490,O14466,P36473,2022-02-26,Damaged,161.68
R491,O11758,P36134,2024-07-12,Wrong Item,394.61
R492,O38666,P35869,2022-02-25,Damaged,385.89
R493,O9604,P30254,2024-03-22,Wrong Item,100.4
R494,O33662,P39394,2025-09-14,Late,234.81
R495,O32896,P38176,2022-04-23,Damaged,53.83
R496,O6172,P32510,2021-02-08,Late,288.37
R497,O27214,P28353,2022-09-03,Damaged,322.36
R498,O1882,P7555,2025-09-03,Damaged,255.91
R499,O4866,P35457,2020-06-22,Late,22.36
R500,O28394,P22709,2025-06-09,Wrong Item,61.56
R501,O31157,P24012,2024-09-04,Damaged,53.98
R502,O38708,P15320,2021-02-11,Damaged,341.07
R503,O25710,P19800,2022-05-18,Wrong Item,180.1
R504,O24880,P21357,2024-10-06,Damaged,48.5
R505,O40438,P5266,2022-02-01,Wrong Item,137.71
R506,O34946,P24654,2025-01-17,Damaged,53.47
R507,O23060,P34248,2025-03-05,Late,461.22
R508,O10135,P32205,2024-12-30,Late,409.02
R509,O32531,P15207,2023-08-21,Damaged,276.53
R510,O25502,P17169,2021-09-23,Damaged,251.27
R511,O8512,P10931,2024-10-06,Damaged,105.97
R512,O14127,P40735,2022-02-13,Wrong Item,62.3
R513,O37505,P34565,2022-07-06,Late,337.37
R514,O24732,P33697,2024-05-12,Wrong Item,183.47
R515,O12196,P23762,2024-09-30,Damaged,232.49
