Review_id,Customer_id,Product_id,Rating,Review text,review date
RV42,C31117,P1355,2,Good,2021-06-22
RV43,C22170,P6539,1,Good,2025-09-25
RV44,C6997,P9553,3,Average,2021-06-04
RV45,C37094,P22830,5,Good,2020-07-03
RV46,C23054,P24885,4,poor,2025-08-02
RV47,C17804,P29104,3,excellent,2022-11-06
RV48,C29567,P3445,5,Good,2024-12-28
RV49,C37979,P25566,3,excellent,2021-05-30
RV50,C38844,P10790,2,Good,2024-03-26
RV51,C15957,P17213,3,Average,2024-03-16
RV52,C28879,P37433,1,bad,2024-01-29
RV53,C14294,P3593,1,Good,2022-06-18
RV54,C16850,P12036,3,excellent,2023-02-20
RV55,C16190,P13255,2,Good,2023-10-05
RV56,C27975,P25301,1,poor,2022-02-02
RV57,C28202,P25716,3,bad,2023-02-28
RV58,C28134,P11484,5,Average,2025-05-19
RV59,C5907,P29284,3,poor,2021-05-07
RV60,C4646,P9164,4,Good,2024-09-03
RV61,C27687,P2618,4,poor,2021-02-08
RV62,C14790,P18145,4,Good,2024-02-02
RV63,C27324,P36799,1,poor,2025-02-07
RV64,C40743,P4906,5,bad,2020-02-14
RV65,C24194,P24081,2,Average,2025-01-17
RV66,C33746,P24715,3,bad,2021-08-25
RV67,C18664,P27361,2,bad,2025-02-13
RV68,C34267,P32934,3,poor,2023-04-30
RV69,C14950,P17339,3,Average,2021-06-07
RV70,C37012,P32310,1,excellent,2025-10-09
RV71,C20629,P19255,4,poor,2020-12-16
RV72,C13005,P32257,3,poor,2025-02-08
RV73,C2812,P31725,2,Good,2024-12-21
RV74,C9195,P4691,1,bad,2023-01-06
RV75,C30661,P36006,5,excellent,2022-08-03
RV76,C9309,P21735,1,bad,2021-09-13
RV77,C30816,P9792,3,Good,2021-10-29
RV78,C2638,P17706,2,poor,2025-01-03
RV79,C9092,P28270,3,excellent,2021-11-08
RV80,C9881,P1430,2,poor,2024-01-21
RV81,C26595,P7588,2,bad,2022-09-24
RV82,C40145,P6500,1,bad,2020-02-03
RV83,C38747,P16206,3,poor,2020-01-25
RV84,C39033,P31273,2,bad,2024-06-16
RV85,C7769,P12163,3,excellent,2022-04-14
RV86,C4029,P35111,4,bad,2025-09-09
RV87,C18252,P8292,4,poor,2020-11-27
RV88,C17099,P11835,3,Good,2021-04-03
RV89,C23354,P25676,4,poor,2023-10-23
RV90,C21978,P34929,3,poor,2023-08-31
RV91,C39047,P13215,2,Good,2025-04-04
RV92,C39786,P18393,1,excellent,2024-05-31
RV93,C25241,P30959,5,bad,2022-03-25
RV94,C20272,P16150,2,excellent,2023-07-12
RV95,C29539,P19328,1,excellent,2020-10-27
RV96,C5753,P3462,4,Good,2022-12-19
RV97,C23147,P32505,1,bad,2024-12-18
RV98,C6926,P38776,3,bad,2025-05-16
RV99,C23709,P11510,4,Good,2023-08-30
RV100,C11540,P38605,1,Good,2023-12-23
RV101,C18002,P17619,3,Good,2025-02-27
RV102,C39565,P8086,5,poor,2024-01-11
RV103,C16635,P39173,4,excellent,2024-07-02
RV104,C15073,P6428,3,Good,2024-07-19
RV105,C11081,P5081,4,Average,2025-11-20
RV106,C16164,P25353,2,Average,2025-05-25
RV107,C6697,P26895,5,Good,2020-01-07
RV108,C11991,P31065,4,Average,2024-07-15
RV109,C21229,P34955,1,Good,2020-01-25
RV110,C13770,P25698,5,Good,2023-04-20
RV111,C31789,P3275,2,excellent,2022-08-15
RV112,C16129,P20681,1,Average,2025-05-07
RV113,C31153,P3864,5,bad,2023-03-20
RV114,C10893,P23333,5,poor,2020-11-03
RV115,C11282,P2394,1,bad,2023-09-26
RV116,C38615,P25522,1,poor,2024-06-06
RV117,C30136,P12974,1,Good,2024-07-14
RV118,C11120,P29094,1,bad,2021-08-05
RV119,C28932,P37536,5,poor,2021-10-04
RV120,C11929,P19902,2,Average,2022-08-04
RV121,C24998,P5141,2,excellent,2022-01-10
RV122,C8113,P6418,1,poor,2022-11-22
RV123,C38622,P24845,2,excellent,2020-09-25
RV124,C1015,P20519,1,Average,2024-08-01
RV125,C16821,P16185,3,excellent,2023-09-26
RV126,C3118,P2816,2,poor,2020-11-04
RV127,C16126,P39108,3,poor,2024-11-01
RV128,C10282,P21723,1,Average,2020-09-19
RV129,C10939,P14592,4,Average,2021-09-09
RV130,C8350,P35956,3,poor,2021-09-28
RV131,C30631,P10211,2,Good,2022-12-26
RV132,C11240,P27188,3,Good,2022-05-21
RV133,C40348,P12619,1,excellent,2023-01-25
RV134,C4623,P27001,4,Average,2021-01-26
RV135,C15848,P22682,3,bad,2020-01-22
RV136,C1348,P38974,3,Average,2021-05-01
RV137,C24344,P8039,1,poor,2023-08-16
RV138,C18132,P21270,4,excellent,2025-01-17
RV139,C11822,P17804,4,Average,2022-11-25
RV140,C34580,P35114,1,Good,2020-01-19
RV141,C29184,P15362,4,Good,2023-01-19
RV142,C35188,P7529,4,bad,2022-01-20
RV143,C13213,P22532,3,Good,2024-09-09
RV144,C6831,P20235,5,Average,2024-03-02
RV145,C18067,P26182,1,Average,2022-04-21
RV146,C5455,P5259,5,Good,2024-02-21
RV147,C29648,P2821,2,Average,2021-12-25
RV148,C21486,P12395,1,bad,2025-12-15
RV149,C15586,P21975,4,excellent,2025-12-21
RV150,C27555,P6711,4,Good,2020-07-31
RV151,C38430,P40072,1,bad,2023-09-27
RV152,C1822,P11223,4,bad,2025-07-12
RV153,C26195,P26754,1,Average,2024-10-14
RV154,C35596,P33402,2,Good,2025-11-27
RV155,C16550,P31401,4,bad,2024-01-26
RV156,C24404,P3133,1,poor,2020-01-14
RV157,C25216,P4717,4,excellent,2024-12-07
RV158,C38919,P17927,1,bad,2020-08-29
RV159,C10857,P10739,3,poor,2022-02-28
RV160,C7428,P3820,5,excellent,2022-12-13
RV161,C18767,P27297,2,Good,2024-05-12
RV162,C37499,P40428,4,bad,2022-10-11
RV163,C17496,P13340,5,bad,2025-08-15
RV164,C27898,P21963,5,poor,2020-02-04
RV165,C1372,P14437,4,Average,2025-12-28
RV166,C24904,P30617,1,Good,2024-03-28
RV167,C6961,P31582,2,bad,2022-09-11
RV168,C31009,P32563,2,bad,2020-06-16
RV169,C14364,P35068,4,poor,2022-05-18
RV170,C1158,P39203,5,bad,2025-03-03
RV171,C2061,P1980,4,bad,2021-11-13
RV172,C32113,P16158,5,excellent,2020-02-24
RV173,C12432,P22344,3,Good,2022-09-05
RV174,C4652,P22791,2,Average,2024-04-08
RV175,C15117,P23179,2,bad,2023-10-28
RV176,C7294,P19743,1,excellent,2020-08-22
RV177,C24750,P11306,2,Good,2025-05-07
RV178,C7029,P18993,1,Average,2023-09-05
RV179,C20368,P22948,2,bad,2024-12-18
RV180,C11588,P22118,2,poor,2025-02-14
RV181,C14465,P36425,4,poor,2023-03-01
RV182,C37332,P30515,4,Average,2022-09-14
RV183,C40368,P33656,5,poor,2022-10-03
RV184,C24701,P24528,1,excellent,2020-09-20
RV185,C14291,P13720,1,bad,2020-06-09
RV186,C32861,P33536,5,excellent,2024-09-25
RV187,C35984,P28525,5,poor,2025-10-03
RV188,C27932,P5775,5,Good,2023-06-08
RV189,C7976,P7004,2,Average,2020-04-07
RV190,C10932,P16405,3,excellent,2020-09-25
RV191,C24136,P40558,4,poor,2024-07-06
RV192,C14301,P26163,3,Average,2021-07-20
RV193,C4151,P29826,4,Good,2021-02-11
RV194,C37369,P38443,2,Average,2025-08-25
RV195,C16811,P25222,1,poor,2023-03-14
RV196,C34142,P23086,5,excellent,2023-08-02
RV197,C23304,P3999,5,Good,2025-02-23
RV198,C31402,P21454,3,bad,2020-04-19
RV199,C6029,P28775,3,bad,2020-02-25
RV200,C31753,P4791,3,Average,2023-09-27
RV201,C30046,P28149,4,poor,2020-07-28
RV202,C3194,P21871,4,bad,2023-05-23
RV203,C28087,P38184,2,excellent,2020-05-17
RV204,C38336,P28286,4,Good,2021-04-11
RV205,C5203,P26496,2,Average,2023-05-13
RV206,C40409,P8016,2,Average,2020-02-15
RV207,C22076,P13635,5,poor,2024-12-16
RV208,C1737,P22847,1,excellent,2020-01-13
RV209,C29628,P5618,1,Average,2021-06-01
RV210,C6524,P33165,3,Average,2021-12-10
RV211,C25191,P30417,4,excellent,2022-03-05
RV212,C21231,P28430,5,excellent,2025-12-19
RV213,C5037,P8368,5,poor,2025-06-23
RV214,C15815,P13201,1,bad,2020-07-02
RV215,C36746,P13839,3,excellent,2024-11-02
RV216,C38724,P12555,2,Average,2024-03-29
RV217,C14429,P37123,5,excellent,2022-12-19
RV218,C25314,P9582,4,Good,2021-02-27
RV219,C9624,P36872,1,excellent,2025-07-27
RV220,C4287,P27145,2,excellent,2024-01-04
RV221,C38507,P4358,4,excellent,2025-07-02
RV222,C5128,P22716,2,Average,2024-04-01
RV223,C21894,P4010,4,bad,2021-12-03
RV224,C35076,P25632,5,bad,2020-07-21
RV225,C24492,P40594,1,Good,2022-08-11
RV226,C20002,P31615,2,Good,2020-05-03
RV227,C38228,P36749,3,poor,2023-06-19
RV228,C24591,P3470,4,poor,2023-09-09
RV229,C17163,P5409,3,excellent,2022-06-25
RV230,C39476,P33376,3,excellent,2022-11-30
RV231,C21817,P23816,3,excellent,2022-05-21
RV232,C39200,P15220,3,Good,2020-02-10
RV233,C34553,P16964,3,excellent,2023-07-30
RV234,C22879,P22936,4,poor,2020-11-06
RV235,C36384,P9639,5,Good,2020-01-06
RV236,C31691,P22269,3,Average,2022-10-29
RV237,C10717,P31578,3,bad,2021-02-22
RV238,C18877,P20553,3,excellent,2024-02-11
RV239,C8663,P38084,2,bad,2024-11-11
RV240,C39713,P21291,3,Average,2023-12-21
RV241,C30896,P15792,2,Average,2024-08-31
RV242,C5117,P33506,3,poor,2020-10-05
RV243,C31776,P14642,3,excellent,2021-10-29
RV244,C25836,P31355,5,poor,2022-10-05
RV245,C34025,P20705,3,bad,2022-12-28
RV246,C16416,P5016,4,Good,2025-12-20
RV247,C22136,P5141,5,bad,2024-01-19
RV248,C4260,P35073,5,bad,2025-04-27
RV249,C30382,P30776,2,bad,2023-01-25
RV250,C32728,P30570,2,excellent,2021-11-10
RV251,C3448,P16950,4,Good,2022-08-01
RV252,C22081,P3852,3,poor,2022-12-13
RV253,C10392,P7670,3,poor,2022-10-28
RV254,C1712,P15649,3,bad,2023-10-05
RV255,C10852,P18984,2,poor,2020-05-15
RV256,C38457,P8091,3,Good,2022-01-27
RV257,C8609,P19650,1,Average,2022-11-15
RV258,C26002,P4372,1,bad,2021-09-10
RV259,C25880,P33538,4,bad,2022-05-25
RV260,C39569,P20184,2,Average,2024-11-23
RV261,C37836,P30437,3,poor,2024-03-23
RV262,C38370,P28396,4,excellent,2022-10-07
RV263,C28844,P30724,4,poor,2020-03-22
RV264,C16033,P12951,1,Average,2020-07-16
RV265,C31345,P25682,1,Good,2021-01-01
RV266,C12098,P33649,5,Average,2021-09-06
RV267,C37368,P17834,4,bad,2023-12-04
RV268,C11445,P16395,1,bad,2024-11-07
RV269,C25203,P3613,4,excellent,2020-08-22
RV270,C39100,P22277,4,bad,2025-04-01
RV271,C25541,P23949,1,Average,2024-02-22
RV272,C5353,P1796,4,poor,2021-07-08
RV273,C29746,P21451,4,Average,2025-09-15
RV274,C8251,P7956,5,poor,2022-08-23
RV275,C20940,P3291,4,bad,2025-10-12
RV276,C8904,P21250,5,poor,2023-10-16
RV277,C15171,P39898,2,excellent,2022-06-08
RV278,C12032,P31646,2,bad,2024-01-12
RV279,C37056,P25754,1,poor,2022-11-22
RV280,C31808,P36887,1,excellent,2024-07-15
RV281,C17305,P36925,2,bad,2023-04-26
RV282,C36594,P15530,4,poor,2025-08-05
RV283,C32998,P35062,4,Good,2024-02-12
RV284,C9201,P10195,3,Good,2022-02-24
RV285,C1197,P37430,2,excellent,2021-02-01
RV286,C17775,P37012,2,excellent,2023-05-03
RV287,C21006,P3953,5,Average,2020-06-02
RV288,C2326,P27643,4,bad,2025-09-14
RV289,C38970,P12720,5,excellent,2020-06-03
RV290,C14356,P38176,3,Average,2024-05-08
RV291,C32935,P15520,5,excellent,2023-03-08
RV292,C11108,P24188,2,bad,2025-06-05
RV293,C14445,P35617,3,Good,2020-03-06
RV294,C16229,P36334,3,excellent,2022-08-08
RV295,C1265,P31229,3,poor,2020-11-09
RV296,C19188,P21936,5,poor,2022-09-30
RV297,C24084,P9242,2,bad,2021-05-10
RV298,C24164,P13049,1,bad,2020-04-30
RV299,C35420,P33055,5,Average,2021-09-27
RV300,C36447,P36367,3,excellent,2023-10-06
RV301,C20055,P11381,1,Good,2023-10-29
RV302,C8145,P17521,2,excellent,2020-09-24
RV303,C25280,P2579,3,Good,2023-07-08
RV304,C29803,P39529,5,Good,2024-03-18
RV305,C7723,P25752,3,Average,2023-09-20
RV306,C22882,P21142,4,Good,2023-12-27
RV307,C40341,P37579,2,excellent,2021-08-24
RV308,C20860,P18519,5,poor,2024-12-20
RV309,C30107,P36617,4,bad,2024-05-10
RV310,C12562,P4159,4,poor,2023-11-05
RV311,C30486,P14833,2,excellent,2023-09-29
RV312,C22776,P17931,1,Good,2020-03-16
RV313,C35881,P19265,1,bad,2025-08-18
RV314,C31713,P34007,4,excellent,2020-03-09
RV315,C22337,P1144,4,Good,2020-10-03
RV316,C29072,P27381,1,excellent,2024-10-07
RV317,C14537,P17630,2,Good,2024-08-26
RV318,C19844,P1796,5,excellent,2025-06-06
RV319,C26256,P21958,2,poor,2024-10-14
RV320,C18636,P23224,2,poor,2023-02-14
RV321,C7555,P18774,2,bad,2020-11-13
RV322,C37196,P27850,3,Good,2021-10-22
RV323,C8483,P22113,5,Good,2025-11-05
RV324,C12186,P11351,1,bad,2025-06-18
RV325,C37695,P7684,1,poor,2024-06-16
RV326,C40669,P40235,3,Good,2025-05-17
RV327,C35651,P28405,2,excellent,2020-11-19
RV328,C20204,P26724,5,Good,2020-07-19
RV329,C40731,P23897,1,poor,2021-12-19
RV330,C40347,P22222,5,Average,2023-09-26
RV331,C28714,P23984,2,excellent,2020-09-29
RV332,C22122,P5036,5,Average,2025-05-26
RV333,C11318,P22215,2,Good,2025-04-26
RV334,C40483,P28196,3,Good,2024-05-04
RV335,C33418,P11227,4,bad,2021-09-13
RV336,C24858,P13214,5,Average,2020-05-31
RV337,C38417,P38814,3,Average,2024-11-02
RV338,C21772,P11268,5,poor,2023-06-14
RV339,C33893,P36492,2,poor,2025-02-28
RV340,C2221,P8193,5,Good,2021-12-31
RV341,C36069,P20256,4,excellent,2024-08-29
RV342,C2358,P19781,2,poor,2022-03-28
RV343,C3023,P21451,1,excellent,2025-11-07
RV344,C17427,P6266,3,bad,2023-01-13
RV345,C18988,P18730,5,Average,2024-03-15
RV346,C22399,P27268,4,excellent,2021-12-15
RV347,C5979,P33470,3,bad,2021-06-28
RV348,C16238,P16785,1,Average,2021-06-17
RV349,C29659,P24151,5,poor,2024-09-20
RV350,C18099,P7831,3,Average,2021-03-29
RV351,C4767,P38290,3,Average,2023-03-13
RV352,C13405,P21079,5,excellent,2022-03-11
RV353,C15805,P16956,3,poor,2025-12-15
RV354,C6247,P25144,3,Good,2025-09-06
RV355,C11695,P18927,2,Average,2023-08-01
RV356,C39634,P15801,5,poor,2024-07-08
RV357,C15235,P15178,3,excellent,2024-01-10
RV358,C24943,P6363,3,bad,2023-08-15
RV359,C35174,P16013,5,Good,2022-10-10
RV360,C17244,P25814,3,poor,2021-01-19
RV361,C28214,P27612,1,Good,2020-04-30
RV362,C28549,P17945,2,Average,2022-09-02
RV363,C5608,P29939,4,bad,2021-03-15
RV364,C17397,P12191,1,Good,2024-10-05
RV365,C30448,P25831,1,poor,2024-10-29
RV366,C4692,P21755,4,Average,2020-12-10
RV367,C33547,P17383,2,Average,2021-02-02
RV368,C6233,P33070,3,Good,2020-11-16
RV369,C1805,P25903,5,Average,2023-02-26
RV370,C22703,P29732,4,bad,2024-07-02
RV371,C33633,P39287,3,Average,2024-02-08
RV372,C28378,P2892,2,bad,2025-03-11
RV373,C9069,P11386,4,Average,2023-07-04
RV374,C31372,P36097,2,excellent,2020-01-28
RV375,C36767,P28543,2,poor,2025-09-02
RV376,C15459,P35982,5,Average,2021-01-13
RV377,C12204,P14838,1,excellent,2023-11-07
RV378,C24704,P39266,1,poor,2020-10-26
RV379,C6146,P15072,5,excellent,2024-03-07
RV380,C39107,P13716,5,Good,2023-04-21
RV381,C20775,P36668,2,excellent,2024-09-05
RV382,C24250,P4777,4,bad,2021-03-24
RV383,C10933,P19535,2,poor,2021-07-20
RV384,C11243,P30984,1,poor,2022-01-31
RV385,C24697,P23321,3,bad,2021-03-24
RV386,C6144,P20640,5,Average,2025-05-06
RV387,C9416,P30577,4,Good,2022-11-28
RV388,C33766,P5560,4,poor,2021-12-25
RV389,C16396,P35172,4,poor,2023-01-31
RV390,C22069,P29588,3,poor,2020-01-05
RV391,C34772,P14029,2,bad,2023-05-16
RV392,C9473,P27332,5,Average,2020-08-27
RV393,C37075,P3475,4,bad,2024-04-28
RV394,C2834,P38239,1,excellent,2025-12-22
RV395,C38444,P26045,5,bad,2024-04-16
RV396,C22306,P35992,3,Average,2022-04-25
RV397,C31653,P11254,4,Good,2021-07-27
RV398,C4743,P28184,1,Average,2021-11-09
RV399,C18372,P38299,3,Average,2020-10-24
RV400,C4399,P16477,1,poor,2020-11-18
RV401,C20176,P6102,4,poor,2024-11-11
RV402,C25642,P24074,5,excellent,2021-12-06
RV403,C17663,P28355,1,bad,2021-12-26
RV404,C4652,P9700,5,excellent,2020-08-23
RV405,C26834,P20042,4,Good,2020-07-09
RV406,C31264,P1601,1,poor,2021-11-07
RV407,C31727,P24985,5,Average,2021-09-23
RV408,C32361,P29013,1,bad,2022-07-26
RV409,C23419,P39505,1,poor,2025-07-28
RV410,C26662,P1178,2,Average,2023-01-03
RV411,C6328,P12462,1,Good,2020-10-20
RV412,C32096,P33021,3,bad,2022-06-08
RV413,C33520,P12948,4,bad,2021-12-23
RV414,C16905,P5797,1,poor,2025-07-07
RV415,C5984,P28889,3,Average,2022-09-20
RV416,C16620,P35757,1,poor,2021-09-21
RV417,C36178,P40088,2,Good,2023-07-28
RV418,C21425,P3564,1,bad,2023-04-06
RV419,C31758,P30864,5,Average,2022-09-23
RV420,C26612,P3092,5,bad,2021-05-26
RV421,C25807,P23648,1,Good,2025-08-20
RV422,C27451,P30954,3,Good,2021-11-04
RV423,C24730,P39553,1,Good,2025-07-19
RV424,C24196,P22552,2,Average,2024-12-02
RV425,C29560,P5892,1,Good,2025-09-03
RV426,C6386,P29907,2,Good,2022-05-30
RV427,C27571,P13843,5,excellent,2021-10-17
RV428,C10609,P39496,4,poor,2024-06-22
RV429,C5727,P29150,2,poor,2022-08-15
RV430,C2515,P4612,3,bad,2025-08-23
RV431,C6760,P4259,4,poor,2021-12-04
RV432,C29326,P32184,1,excellent,2020-10-09
RV433,C26804,P33232,1,Average,2025-12-28
RV434,C23998,P29230,1,excellent,2025-05-13
RV435,C20528,P36550,1,Good,2025-01-26
RV436,C3255,P11094,3,Good,2020-10-20
RV437,C28889,P35020,2,bad,2021-05-23
RV438,C23132,P29889,1,Good,2022-06-10
RV439,C40166,P25828,4,poor,2024-07-20
RV440,C21467,P28104,1,Good,2020-02-19
RV441,C11155,P27560,5,poor,2023-01-31
RV442,C30879,P14671,4,Good,2021-03-30
RV443,C36211,P39322,2,Average,2023-11-01
RV444,C35244,P8774,5,Average,2021-04-29
RV445,C1827,P18511,1,poor,2023-07-28
RV446,C10335,P27942,2,excellent,2020-06-01
RV447,C10732,P21943,3,bad,2024-05-06
RV448,C35930,P28541,1,excellent,2021-03-03
RV449,C5800,P2844,5,Average,2021-05-12
RV450,C3248,P12667,2,poor,2020-10-03
RV451,C12293,P35738,4,Good,2020-07-27
RV452,C1480,P1138,1,bad,2021-07-16
RV453,C40955,P11863,3,poor,2020-12-07
RV454,C6889,P28815,5,excellent,2021-04-23
RV455,C34079,P40830,4,bad,2024-11-01
RV456,C2764,P5225,4,bad,2022-04-27
RV457,C38795,P33206,4,excellent,2024-09-13
RV458,C24555,P17208,5,Average,2021-08-16
RV459,C8246,P10451,5,bad,2025-12-28
RV460,C36281,P11662,5,Average,2022-08-03
RV461,C6546,P1281,3,poor,2025-06-27
RV462,C40167,P5347,4,excellent,2024-03-27
RV463,C17341,P9390,3,Good,2024-12-14
RV464,C28354,P13246,1,Average,2025-06-14
RV465,C7154,P2149,1,Good,2022-07-24
RV466,C24893,P38620,2,poor,2024-10-18
RV467,C24583,P35324,5,Average,2025-01-17
RV468,C2323,P16893,3,Average,2021-05-04
RV469,C25066,P29892,2,excellent,2020-06-29
RV470,C5276,P37569,4,excellent,2022-05-29
RV471,C6079,P7944,4,excellent,2022-08-03
RV472,C31264,P20430,4,bad,2024-10-08
RV473,C2220,P5362,2,Average,2025-01-12
RV474,C26818,P28939,1,Average,2022-10-29
RV475,C22066,P1571,5,Average,2022-02-11
RV476,C18306,P35930,5,bad,2024-08-17
RV477,C1465,P39164,3,bad,2024-01-31
RV478,C23228,P32432,3,Good,2024-04-07
RV479,C22753,P29666,1,poor,2022-08-22
RV480,C8210,P17664,5,Good,2020-02-24
RV481,C11288,P34639,4,bad,2022-10-19
RV482,C22963,P39846,5,Good,2023-01-15
RV483,C7706,P33289,2,Good,2025-08-08
RV484,C7859,P40628,3,poor,2022-03-15
RV485,C36840,P18203,3,excellent,2021-07-16
RV486,C10805,P1665,1,poor,2022-08-16
RV487,C5397,P33350,3,bad,2024-03-13
RV488,C7489,P26474,5,poor,2020-02-29
RV489,C10794,P33851,3,excellent,2022-10-23
RV490,C35063,P31092,1,poor,2020-12-25
RV491,C25163,P16954,3,excellent,2023-02-28
RV492,C15067,P14216,1,Good,2021-07-02
RV493,C7407,P37717,5,Average,2024-05-16
RV494,C21934,P6258,3,Average,2021-09-26
RV495,C8138,P24651,5,bad,2021-09-23
RV496,C20810,P7660,4,Average,2021-09-23
RV497,C31686,P35711,1,Good,2022-03-05
RV498,C24481,P16878,1,Good,2020-11-12
RV499,C6579,P37810,1,bad,2024-03-21
RV500,C11421,P18502,1,bad,2023-05-31
RV501,C7965,P11261,4,poor,2020-09-26
RV502,C7088,P7305,2,excellent,2025-05-10
RV503,C31084,P39335,5,poor,2021-11-25
RV504,C34214,P16495,5,bad,2022-03-04
RV505,C9053,P28507,2,excellent,2022-10-22
RV506,C19556,P36874,4,poor,2020-09-07
RV507,C31144,P38252,2,bad,2023-02-26
RV508,C28443,P2687,4,bad,2022-11-19
RV509,C16002,P19076,4,Average,2024-09-03
RV510,C9926,P30563,3,poor,2025-09-01
RV511,C16244,P21851,5,Good,2021-08-27
RV512,C22572,P2021,5,Average,2024-11-24
RV513,C5537,P8169,4,excellent,2021-01-23
RV514,C37850,P22201,4,excellent,2024-09-15
RV515,C34049,P11276,4,Average,2020-02-28
RV516,C36387,P27562,4,Good,2020-01-04
RV517,C38153,P31393,5,Good,2020-05-05
RV518,C12764,P9042,4,Average,2024-11-14
RV519,C5777,P35516,3,bad,2021-02-03
RV520,C15106,P23535,2,excellent,2025-12-29
RV521,C31853,P12927,5,poor,2024-11-17
RV522,C29589,P7302,1,excellent,2024-12-23
RV523,C36426,P2839,1,Average,2022-05-06
RV524,C2065,P31383,1,bad,2020-02-28
RV525,C15072,P22242,5,bad,2021-09-29
RV526,C31892,P32133,1,bad,2025-05-10
RV527,C10407,P8249,1,excellent,2024-02-24
RV528,C20933,P3376,5,Average,2021-08-13
RV529,C4170,P6213,3,Good,2022-11-02
RV530,C25757,P39705,4,Average,2022-11-08
RV531,C26866,P8427,1,Average,2025-03-12
RV532,C32723,P8776,1,Good,2024-11-26
RV533,C7323,P17500,5,Average,2022-05-25
RV534,C1785,P7748,5,poor,2025-08-08
RV535,C23993,P10681,3,bad,2020-11-13
RV536,C22107,P15633,4,Average,2021-10-20
RV537,C18286,P23711,1,poor,2024-04-11
RV538,C10959,P25482,3,Average,2020-05-22
RV539,C2492,P15949,5,Good,2023-12-07
RV540,C4062,P30770,4,poor,2021-12-08
RV541,C28342,P14725,4,Good,2021-04-18
RV542,C36223,P29886,2,Good,2020-01-27
RV543,C20252,P32996,5,Good,2020-05-23
RV544,C15054,P16028,1,poor,2020-11-28
RV545,C34898,P22763,5,Good,2025-12-28
RV546,C10251,P19161,5,Good,2022-07-23
RV547,C19131,P36490,1,bad,2022-01-14
RV548,C34430,P9351,4,poor,2024-06-16
RV549,C37724,P13927,3,Good,2023-06-14
RV550,C32036,P10858,5,Good,2024-08-23
RV551,C31999,P1920,2,poor,2023-06-08
RV552,C27131,P26455,4,poor,2025-07-08
RV553,C12663,P8788,5,Good,2022-01-07
RV554,C30491,P26193,3,Average,2025-12-13
RV555,C21088,P8551,1,excellent,2022-06-27
RV556,C39543,P40591,3,Average,2022-02-19
RV557,C5347,P13722,4,bad,2022-06-29
RV558,C39533,P22059,3,excellent,2022-12-16
RV559,C24218,P24407,5,poor,2023-08-31
RV560,C21069,P27951,4,Good,2021-05-02
RV561,C19381,P12910,3,bad,2023-12-22
RV562,C31077,P21017,5,Average,2024-04-02
RV563,C3031,P8257,4,Good,2024-06-16
RV564,C13418,P24978,2,poor,2023-04-13
RV565,C35804,P36332,2,poor,2025-08-26
RV566,C13975,P37569,1,Good,2024-10-14
RV567,C25729,P28193,3,bad,2022-08-03
RV568,C13826,P2943,3,bad,2021-04-27
RV569,C4011,P11599,2,Good,2024-09-01
RV570,C16991,P25770,2,excellent,2025-06-14
RV571,C18721,P38159,3,poor,2023-07-20
RV572,C24170,P13110,4,Good,2025-04-17
RV573,C24169,P32941,3,bad,2023-08-08
RV574,C36162,P5278,5,bad,2025-04-20
RV575,C30194,P35347,4,poor,2023-02-16
